"Cache ID",GC-code,"Cache name",Type,Size,Difficulty,Terrain,Latitude,Longitude,"Corrected latitude","Corrected longitude","Elevation (m)",Hidden,"Last publish date",Country,Region,County,Archived,Locked,Disabled,Premium,"Last find date","Last archive date",Finds,"Latest logs",FP,FP%,FPW,"Placed by","Added by","Added at","Source page","Source link",Owner,Found,"Usernote 1","Usernote 2","Usernote 3","Usernote 4","Usernote 5"
2809018,GC3F2TD,"Elektricke stanice Kosic I. - ES Vychod",Multi-cache,Small,2.0,2.0,"N 48° 44.424","E 021° 17.555","N 48° 44.551","E 021° 17.582",347,2012-03-21,2012-03-22,Slovakia,"Košický kraj","Košice III",0,0,0,0,2023-12-08,,293,127,2,1.666700,0.458247,rastislavius,tsk88,"2024-03-22 14:23:02",mapcompare,https://project-gc.com/Tools/MapCompare?profile_name=tsk88&onefound=on&bothfound=on&ownfound=on&showdisabled=on&showarchived=on&submit=Filter,rastislavius,1,,,,,
2825449,GC3FKXE,"Nizna Hutka-uvodna camouflage","Unknown Cache",Small,2.5,2.5,"N 48° 39.940","E 021° 21.858","N 48° 39.956","E 021° 21.834",296,2012-03-28,2012-03-28,Slovakia,"Košický kraj","Košice - okolie",0,0,0,0,2023-10-23,,134,127,12,21.428600,12.705780,mina989,tsk88,"2024-03-22 14:23:02",mapcompare,https://project-gc.com/Tools/MapCompare?profile_name=tsk88&onefound=on&bothfound=on&ownfound=on&showdisabled=on&showarchived=on&submit=Filter,mina989,1,,,,,
2825867,GC3FMAY,"Camouflage c.1","Traditional Cache",Other,3.0,2.5,"N 48° 39.997","E 021° 22.037",,,291,2012-03-28,2012-03-28,Slovakia,"Košický kraj","Košice - okolie",0,0,0,0,2023-10-23,,152,127,13,20.967700,12.683870,mina989,tsk88,"2024-03-22 14:23:02",mapcompare,https://project-gc.com/Tools/MapCompare?profile_name=tsk88&onefound=on&bothfound=on&ownfound=on&showdisabled=on&showarchived=on&submit=Filter,mina989,1,,,,,
2844757,GC3G909,"ssd code","Unknown Cache",Regular,5.0,5.0,"N 48° 44.444","E 021° 14.444","N 48° 44.839","E 021° 15.102",223,2012-04-12,2012-04-14,Slovakia,"Košický kraj","Košice I",0,0,0,0,2023-04-26,,189,127,68,59.649100,50.470989,LesMarco,tsk88,"2024-03-22 14:23:02",mapcompare,https://project-gc.com/Tools/MapCompare?profile_name=tsk88&onefound=on&bothfound=on&ownfound=on&showdisabled=on&showarchived=on&submit=Filter,LesMarco,1,,,,,
2849972,GC3GEDG,"Pirat.vypravaIII-Klatovianska cesta do stredu zeme","Traditional Cache",Small,3.0,2.5,"N 48° 44.831","E 021° 09.112",,,407,2012-04-06,2012-04-07,Slovakia,"Košický kraj","Košice I",0,0,0,0,2024-02-10,,137,127,0,0.000000,0.000000,Arabba,tsk88,"2024-03-22 14:23:02",mapcompare,https://project-gc.com/Tools/MapCompare?profile_name=tsk88&onefound=on&bothfound=on&ownfound=on&showdisabled=on&showarchived=on&submit=Filter,Arabba,1,,,,,
2853357,GC3GHYP,"Mineralny pramen Anicka (Gajdovka)",Multi-cache,Regular,2.0,2.0,"N 48° 45.055","E 021° 15.165","N 48° 45.096","E 021° 15.322",217,2012-05-15,2012-06-05,Slovakia,"Košický kraj","Košice I",1,0,0,0,2021-08-10,2021-10-02,289,95,5,4.424800,1.904559,LesMarco,tsk88,"2024-03-22 14:23:02",mapcompare,https://project-gc.com/Tools/MapCompare?profile_name=tsk88&onefound=on&bothfound=on&ownfound=on&showdisabled=on&showarchived=on&submit=Filter,LesMarco,1,,,,,
2856241,GC3GMYQ,"Kostol Liptovske Matiasovce","Traditional Cache",Small,2.0,2.0,"N 49° 09.118","E 019° 32.597",,,618,2012-04-09,2012-04-09,Slovakia,"Žilinský kraj","Liptovský Mikuláš",0,0,0,0,2024-03-09,,942,127,29,7.923500,5.573233,minulo,tsk88,"2024-03-22 14:23:02",mapcompare,https://project-gc.com/Tools/MapCompare?profile_name=tsk88&onefound=on&bothfound=on&ownfound=on&showdisabled=on&showarchived=on&submit=Filter,miňulo,1,,,,,
2858125,GC3GPXG,"Camouflage c.2","Traditional Cache",Small,2.5,2.0,"N 48° 40.042","E 021° 21.593",,,255,2012-04-10,2012-04-10,Slovakia,"Košický kraj","Košice - okolie",0,0,0,0,2023-05-21,,144,127,7,12.500000,6.188990,mina989,tsk88,"2024-03-22 14:23:02",mapcompare,https://project-gc.com/Tools/MapCompare?profile_name=tsk88&onefound=on&bothfound=on&ownfound=on&showdisabled=on&showarchived=on&submit=Filter,mina989,1,,,,,
2858354,GC3GQ4X,"Camouflage c.3","Traditional Cache",Small,3.5,2.0,"N 48° 40.245","E 021° 21.802",,,222,2012-04-10,2012-04-10,Slovakia,"Košický kraj","Košice - okolie",0,0,0,0,2023-08-13,,134,127,10,17.857100,9.999750,mina989,tsk88,"2024-03-22 14:23:02",mapcompare,https://project-gc.com/Tools/MapCompare?profile_name=tsk88&onefound=on&bothfound=on&ownfound=on&showdisabled=on&showarchived=on&submit=Filter,mina989,1,,,,,
2868062,GC3H282,"Vodarensky park","Traditional Cache",Micro,2.5,1.5,"N 48° 08.811","E 017° 03.698",,,137,2012-04-13,2012-04-15,Slovakia,"Bratislavský kraj","Bratislava IV",0,0,0,0,2024-03-17,,1210,127,6,1.342300,0.616584,Pindulak,tsk88,"2024-03-22 14:23:02",mapcompare,https://project-gc.com/Tools/MapCompare?profile_name=tsk88&onefound=on&bothfound=on&ownfound=on&showdisabled=on&showarchived=on&submit=Filter,Pindulak,1,,,,,
