"Cache ID",GC-code,"Cache name",Type,Size,Difficulty,Terrain,Latitude,Longitude,"Corrected latitude","Corrected longitude","Elevation (m)",Hidden,"Last publish date",Country,Region,County,Archived,Locked,Disabled,Premium,"Last find date","Last archive date",Finds,"Latest logs",FP,FP%,FPW,"Placed by","Added by","Added at","Source page","Source link",Owner,Found,"Usernote 1","Usernote 2","Usernote 3","Usernote 4","Usernote 5"
7741903,GC8TMWQ,"Movies - Intouchables","Unknown Cache",Micro,4.0,2.0,"N 48° 45.559","E 021° 16.673","N 48° 45.451","E 021° 16.407",320,2020-07-14,2020-07-15,Slovakia,"Košický kraj","Košice I",0,0,0,0,2024-03-09,,98,127,1,1.470600,0.260062,erik.grave1,tsk88,"2024-03-22 13:43:42",,,erik.grave1,,,,,,
7743427,GC8TPEX,"Skaly na Hrbe","Traditional Cache",Small,2.5,2.5,"N 48° 45.399","E 020° 58.092",,,971,2020-06-10,2020-06-10,Slovakia,"Košický kraj","Košice - okolie",0,0,0,0,2023-10-26,,15,127,2,22.222200,6.322376,achillespoproc,tsk88,"2024-03-22 13:43:42",,,achillespoproc,,,,,,
7743462,GC8TPG1,"Teriho relax","Traditional Cache",Micro,2.0,2.0,"N 48° 44.027","E 020° 57.708",,,612,2020-06-10,2020-06-11,Slovakia,"Košický kraj","Košice - okolie",0,0,0,0,2024-02-14,,38,127,0,0.000000,0.000000,achillespoproc,tsk88,"2024-03-22 13:43:42",,,achillespoproc,,,,,,
7744805,GC8TQXB,"Urbex#2 - Memento Hlúposti (Mlyn)","Unknown Cache",Small,2.0,1.5,"N 48° 40.799","E 021° 17.075","N 48° 41.008","E 021° 17.134",197,2020-06-17,2020-06-18,Slovakia,"Košický kraj","Košice IV",0,0,0,0,2024-02-03,,76,127,6,12.244900,5.734748,Marška,tsk88,"2024-03-22 13:43:42",,,Marška,1,,,,,
7745201,GC8TRA4,Ždaňa,"Traditional Cache",Micro,2.5,1.5,"N 48° 35.848","E 021° 21.052",,,189,2020-06-12,2020-06-13,Slovakia,"Košický kraj","Košice - okolie",0,0,0,0,2024-03-19,,78,99,1,1.851900,0.327640,miskakero,tsk88,"2024-03-22 13:43:42",,,miskakero,,,,,,
7745258,GC8TRBZ,"Movies - Edge of tomorrow","Unknown Cache",Small,4.5,3.5,"N 48° 45.530","E 021° 16.616","N 48° 45.306","E 021° 16.285",312,2020-07-14,2020-07-15,Slovakia,"Košický kraj","Košice I",0,0,0,0,2024-03-16,,87,126,1,1.587300,0.280742,erik.grave1,tsk88,"2024-03-22 13:43:42",,,erik.grave1,1,,,,,
7745276,GC8TRCH,"Movies - Lucy","Unknown Cache",Micro,4.0,3.5,"N 48° 45.477","E 021° 16.616","N 48° 45.808","E 021° 16.513",301,2020-07-14,2020-07-15,Slovakia,"Košický kraj","Košice I",0,0,0,0,2024-03-09,,105,127,25,32.051300,22.748018,erik.grave1,tsk88,"2024-03-22 13:43:42",,,erik.grave1,1,,,,,
7747142,GC8TVAQ,"Posed pod krížom","Traditional Cache",Micro,1.5,2.0,"N 48° 42.653","E 021° 00.190",,,422,2020-06-12,2020-06-12,Slovakia,"Košický kraj","Košice - okolie",0,0,0,0,2023-05-13,,60,127,0,0.000000,0.000000,achillespoproc,tsk88,"2024-03-22 13:43:42",,,achillespoproc,,,,,,
7749670,GC8TXZ9,"Prastará Lipa","Traditional Cache",Micro,1.5,2.0,"N 48° 56.296","E 021° 03.148",,,651,2020-06-13,2020-06-13,Slovakia,"Prešovský kraj",Prešov,0,0,0,0,2024-02-05,,120,127,0,0.000000,0.000000,hardstyle_007,tsk88,"2024-03-22 13:45:06",,,hardstyle_007,,,,,,
7750133,GC8TYE7,"Prechod NP Slovensky kras",Multi-cache,Small,3.5,4.0,"N 48° 38.160","E 020° 55.837",,,416,2020-06-13,2020-07-03,Slovakia,"Košický kraj","Košice - okolie",0,0,0,0,2023-08-20,,13,127,10,90.909100,62.263537,weila,tsk88,"2024-03-22 13:43:42",,,weila,,,,,,
7750882,GC8TZ7C,"# 4 Lesopark Sever - Zvieratá",Multi-cache,Small,2.5,2.5,"N 49° 08.953","E 020° 26.344",,,692,2020-06-14,2020-06-14,Slovakia,"Prešovský kraj",Kežmarok,0,0,0,0,2023-09-11,,57,127,2,6.666700,1.847664,Dusan44,tsk88,"2024-03-22 13:45:16",,,Dusan44,,,,,,
7750937,GC8TZ95,"# 5 Lesopark Sever - Výhľad","Traditional Cache",Micro,1.5,2.0,"N 49° 09.102","E 020° 26.521",,,655,2020-06-14,2020-06-14,Slovakia,"Prešovský kraj",Kežmarok,0,0,0,0,2023-09-12,,86,127,3,7.894700,2.721410,Dusan44,tsk88,"2024-03-22 13:45:16",,,Dusan44,,,,,,
7751015,GC8TZBN,"# 6 Lesopark Sever - Jeruzalemský vrch","Traditional Cache",Small,3.0,2.5,"N 49° 08.863","E 020° 26.378",,,717,2020-06-14,2020-06-14,Slovakia,"Prešovský kraj",Kežmarok,0,0,0,0,2023-09-05,,82,127,1,2.857100,0.506136,Dusan44,tsk88,"2024-03-22 13:45:16",,,Dusan44,,,,,,
7751086,GC8TZDZ,"KRÍŽ nad Rudníkom","Traditional Cache",Micro,2.0,2.0,"N 48° 42.633","E 021° 00.363",,,429,2020-06-14,2020-06-24,Slovakia,"Košický kraj","Košice - okolie",0,0,0,0,2023-04-22,,68,127,1,2.381000,0.421530,achillespoproc,tsk88,"2024-03-22 13:43:42",,,achillespoproc,,,,,,
7751108,GC8TZEN,"Posed nad krížom","Traditional Cache",Micro,2.0,2.0,"N 48° 42.877","E 021° 00.305",,,455,2020-06-14,2020-06-14,Slovakia,"Košický kraj","Košice - okolie",0,0,0,0,2024-01-26,,65,127,1,2.325600,0.411698,achillespoproc,tsk88,"2024-03-22 13:43:42",,,achillespoproc,,,,,,
7751146,GC8TZFX,"Nemelem , nemelem",Multi-cache,Small,1.5,2.0,"N 48° 47.947","E 021° 14.561","N 48° 47.662","E 021° 13.796",228,2020-06-13,2020-06-14,Slovakia,"Košický kraj","Košice - okolie",0,0,0,1,2023-11-04,,49,126,2,4.651200,1.284899,teri47,tsk88,"2024-03-22 13:43:42",,,teri47,,,,,,
7753821,GC8V296,Kolonelove,"Traditional Cache",Small,2.0,2.0,"N 48° 44.030","E 020° 57.103",,,502,2020-06-15,2020-06-15,Slovakia,"Košický kraj","Košice - okolie",0,0,0,0,2024-01-17,,31,127,0,0.000000,0.000000,achillespoproc,tsk88,"2024-03-22 13:43:42",,,achillespoproc,,,,,,
7754308,GC8V2RX,"Strážcovia nebies","Unknown Cache",Regular,5.0,4.5,"N 48° 44.454","E 021° 16.545","N 48° 44.723","E 021° 17.468",254,2020-06-21,2020-06-21,Slovakia,"Košický kraj","Košice III",0,0,0,1,2024-02-09,,76,127,46,66.666700,54.926255,miskakero,tsk88,"2024-03-22 13:43:42",,,miskakero,,,,,,
7754690,GC8V367,"CSK - POKLAD (TB HOTEL)","Unknown Cache",Large,4.0,3.0,"N 48° 52.459","E 020° 58.400","N 48° 52.386","E 020° 58.413",419,2020-06-15,2020-06-16,Slovakia,"Košický kraj",Gelnica,0,0,0,0,2024-01-28,,34,127,15,46.875000,30.869130,vogy1,tsk88,"2024-03-22 13:44:32",,,vogy1,,,,,,
