"GC12K7J","Traditional Cache","","","F","","Oldtimers","4,07","N","Rikitan, adopted from hamsters.sk","01/05/2007","20/03/2024","12/03/2023","Micro","2,0","1,5","12/03/2023","","","20/03/2024"
"GC3XWFF","Traditional Cache","","","F","","500 Bytov","4,12","NE","BociTeam","01/10/2012","20/03/2024","10/05/2023","Small","1,0","2,5","10/05/2023","","","20/03/2024"
"GC6QETP","Traditional Cache","","","F","","HZS #03","4,16","SE","_miko_","02/08/2016","20/03/2024","17/02/2024","Micro","1,0","1,0","17/02/2024","","","20/03/2024"
"GC6AY4V","Unknown Cache","","","F","","Na pive","4,17","N","indian99, adopted by myšpet","07/02/2016","20/03/2024","15/12/2023","Micro","3,5","1,5","15/12/2023","","","20/03/2024"
"GC83AF1","Traditional Cache","","","F","","Apoštolská nunciatúra","4,19","N","Muslofon","20/03/2019","20/03/2024","06/11/2022","Micro","3,0","2,0","06/11/2022","","","20/03/2024"
"GC91MD1","Traditional Cache","","","F","","Dear deer Jelen(a)","4,19","N","life_creator","20/10/2020","20/03/2024","27/11/2022","Micro","1,5","1,5","27/11/2022","","","20/03/2024"
"GC9DBVD","Traditional Cache","","","F","","ROK #186 - Sviatok svätých Cyrila a Metoda","4,20","NE","_LIGHTYEAR_","05/07/2022","20/03/2024","15/12/2023","Micro","3,0","1,0","15/12/2023","","","20/03/2024"
"GC9DAPT","Multicache","","","F","","ROK #088 - Matej Korvín","4,21","N","_LIGHTYEAR_","29/03/2022","20/03/2024","24/03/2023","Micro","2,5","1,5","24/03/2023","","","20/03/2024"
"GC1R0H6","Traditional Cache","","","F","","Róbert Remiáš","4,21","NW","sv. Augustin","07/06/2009","20/03/2024","02/11/2022","Small","2,0","1,5","02/11/2022","","","20/03/2024"
"GCAJMHG","Cache In Trash Out Event","","","F","","kŕmenie vtáčikov Bratislava","4,24","NW","Olii05 + Pegas94","03/03/2024","20/03/2024","03/03/2024","Other","1,0","1,0","03/03/2024","","","20/03/2024"
"GCAJVKD","Multicache","","","F","","AnOther RO(c)K - #049","4,24","N","_Dragonkeeper_","18/02/2024","20/03/2024","08/03/2024","Other","2,0","2,0","08/03/2024","","","20/03/2024"
"GC3H282","Traditional Cache","","","F","","Vodarensky park","4,25","NW","Pindulak","13/04/2012","20/03/2024","23/09/2022","Micro","2,5","1,5","23/09/2022","","","20/03/2024"
"GC890YR","Virtual Cache","","","F","","Bratislava hlavná stanica","4,25","N","zinok","07/06/2019","20/03/2024","08/09/2019","Virtual","1,0","1,0","08/09/2019","","","20/03/2024"
"GCAFY9X","Event Cache","","","F","","SWG & TB výmena Bratislava","4,26","NW","Olii05 + Pegas94","03/03/2024","20/03/2024","03/03/2024","Other","1,0","1,0","03/03/2024","","","20/03/2024"
"GC7B7QQ","Virtual Cache","","","F","","Horse-drawn railway - Bratislava station","4,32","NE","Ceico","08/11/2017","20/03/2024","07/11/2022","Virtual","1,0","1,0","07/11/2022","","","20/03/2024"
"GC9N1QN","Unknown Cache","","","F","","Obrázková - hromnice","4,32","N","lenicka8788","02/02/2022","20/03/2024","15/12/2023","Small","2,5","1,5","15/12/2023","","","20/03/2024"
"GCAJVME","Multicache","","","F","","AnOther RO(c)K - #054","4,33","NW","_Dragonkeeper_","23/02/2024","20/03/2024","01/03/2024","Other","2,5","2,0","01/03/2024","","","20/03/2024"
"GC9DBXJ","Traditional Cache","","","F","","ROK #218 - Hiroshima","4,40","N","_LIGHTYEAR_","06/08/2022","20/03/2024","26/11/2022","Micro","3,5","1,0","26/11/2022","","","20/03/2024"
"GC6QETR","Traditional Cache","","","F","","HZS #04","4,40","SE","_miko_","02/08/2016","20/03/2024","17/02/2024","Micro","1,0","1,0","17/02/2024","","","20/03/2024"
"GC18FDV","Unknown Cache","","","F","","Farby dúhy :: Colours of Rainbow","4,41","N","Gummy maci","24/01/2008","20/03/2024","01/12/2022","Micro","2,0","1,5","01/12/2022","","","20/03/2024"
"GCAHRPN","Traditional Cache","","","F","","AnOther RO(c)K - #016","4,41","N","_Dragonkeeper_","16/01/2024","20/03/2024","08/03/2024","Other","1,5","1,5","08/03/2024","","","20/03/2024"
"GC8760H","Traditional Cache","","","F","","Chameleon cache","4,41","NW","musashimaru","23/10/2019","20/03/2024","21/06/2023","Other","2,5","1,5","21/06/2023","","","20/03/2024"
"GC9GWC6","Multicache","","","F","","[CQ] Voda nad zlato","4,43","NW","BROZ","07/03/2022","20/03/2024","03/03/2024","Small","3,0","3,0","03/03/2024","","","20/03/2024"
"GCAHV7D","Traditional Cache","","","F","","AnOther RO(c)K - #023","4,50","N","_Dragonkeeper_","23/01/2024","20/03/2024","08/03/2024","Other","1,5","1,5","08/03/2024","","","20/03/2024"
"GC96EZQ","Unknown Cache","","","F","","7 básniček na zrcadlo - Naděje","4,54","NE","lenicka8788","20/02/2021","20/03/2024","10/02/2024","Other","2,0","1,5","10/02/2024","","","20/03/2024"
"GCA4TDP","Unknown Cache","","","F","","R.I.P. ROCKOVÁ BRATISLAVA (Adventure LAB bonus)","4,54","NE","bacaMato","12/02/2023","20/03/2024","13/10/2023","Small","2,0","2,5","13/10/2023","","","20/03/2024"
"GCA02RX","Unknown Cache","","","F","","rocková BRATISLAVA (Adventure LAB bonus)","4,55","N","bacaMato","21/09/2022","20/03/2024","15/12/2023","Small","2,0","2,5","15/12/2023","","","20/03/2024"
"GCAJ3N2","Traditional Cache","","","F","","AnOther RO(c)K - #010","4,58","N","_Dragonkeeper_","10/01/2024","20/03/2024","08/03/2024","Other","1,0","1,5","08/03/2024","","","20/03/2024"
"GC6QETX","Traditional Cache","","","F","","HZS #05","4,61","SE","_miko_","03/08/2016","20/03/2024","17/02/2024","Micro","1,0","1,0","17/02/2024","","","20/03/2024"
"GC9RRMY","Unknown Cache","","","F","","LAB Bonus: Vodárenská záhrada","4,63","NW","zemiak","23/04/2022","20/03/2024","03/03/2024","Other","3,0","1,5","03/03/2024","","","20/03/2024"
"GCAJVKN","Multicache","","","F","","AnOther RO(c)K - #053","4,63","N","_Dragonkeeper_","22/02/2024","20/03/2024","08/03/2024","Other","1,0","1,5","08/03/2024","","","20/03/2024"
"GC4FAX2","Traditional Cache","","","F","","FORUM BC","4,64","NE","vej@","01/07/2013","20/03/2024","16/01/2024","Micro","2,0","1,5","16/01/2024","","","20/03/2024"
"GC3C6HB","Traditional Cache","","","F","","Prazska :-)","4,71","N","skapo","06/02/2012","20/03/2024","29/03/2023","Small","2,0","1,5","29/03/2023","","","20/03/2024"
"GCADMGK","Traditional Cache","","","F","","GEOlekárnička","4,75","NW","Janko_Mrkvička","31/08/2023","20/03/2024","17/01/2024","Regular","2,0","1,0","17/01/2024","","","20/03/2024"
"GC6QEV1","Traditional Cache","","","F","","HZS #06","4,80","SE","_miko_","03/08/2016","20/03/2024","17/02/2024","Micro","1,0","1,5","17/02/2024","","","20/03/2024"
"GC9DC15","Traditional Cache","","","F","","ROK #265 - Michael Faraday","4,80","NW","_LIGHTYEAR_","22/09/2022","20/03/2024","03/03/2024","Other","3,0","3,0","03/03/2024","","","20/03/2024"
"GC9FGAQ","Traditional Cache","","","F","","Pozor, scho-dy-dy-dy! #1","4,86","N","huaPlus2syn","24/08/2021","20/03/2024","10/11/2022","Other","2,0","2,5","10/11/2022","","","20/03/2024"
"GC9DBV5","Traditional Cache","","","F","","ROK #182 - Hurá prázdniny","4,88","N","_LIGHTYEAR_","01/07/2022","20/03/2024","16/11/2022","Micro","1,0","1,0","16/11/2022","","","20/03/2024"
"GCAJ0ZR","Traditional Cache","","","F","","AnOther RO(c)K - #014","4,90","NW","_Dragonkeeper_","14/01/2024","20/03/2024","17/01/2024","Other","2,0","1,5","17/01/2024","","","20/03/2024"
"GC6QEV6","Traditional Cache","","","F","","HZS #07","5,04","SE","_miko_","04/08/2016","20/03/2024","17/02/2024","Micro","1,0","1,5","17/02/2024","","","20/03/2024"
